weight;word;color;url
490;<subject, American_coming-of-age_films>;;
202;<subject, Films_scored_by_Mark_Isham>;;
128;<subject, 1999_comedy-drama_films>;;
194;<music, Mark_Isham>;;
167;<subject, Films_shot_in_Maryland>;;
514;<subject, 1990s_screwball_comedy_films>;;
200;<subject, Interscope_Communications_films>;;
681;<subject, American_screwball_comedy_films>;;
775;<subject, Films_about_weddings>;;
327;<editing, Bruce_Green>;;
176;<starring, Joan_Cusack>;;
326;<subject, Films_shot_in_Austin,_Texas>;;
5445;<subject, core#broader, American_action_films>;;
5120;<music, subject, Sony_Classical_Records_artists>;;
4349;<musicComposer, subject, Sony_Classical_Records_artists>;;
721;<subject, core#broader, Films_distributed_by_Disney>;;
1743;<subject, core#broader, 1990s_action_films>;;
3791;<music, subject, Primetime_Emmy_Award_winners>;;
3130;<musicComposer, subject, Primetime_Emmy_Award_winners>;;
6450;<director, subject, Action_film_directors>;;
3041;<musicComposer, subject, 21st-century_American_composers>;;
3429;<music, subject, 21st-century_American_composers>;;
2743;<subject, core#broader, American_film_series>;;
1783;<writer, occupation, Film_producer>;;
4796;<music, subject, MCA_Records_artists>;;
4650;<musicComposer, subject, MCA_Records_artists>;;
4244;<music, subject, Warner_Records_artists>;;
3408;<musicComposer, subject, Warner_Records_artists>;;
1939;<studio, industry, Film_industry>;;
2853;<subject, American_action_thriller_films>;;
1036;<subject, core#broader, Action_thriller_films_by_country>;;
7893;<subject, Films_that_won_the_Best_Sound_Editing_Academy_Award>;;
2226;<subject, 1990s_action_thriller_films>;;
1478;<subject, Touchstone_Pictures_films>;;
7456;<music, subject, American_classical_trombonists>;;
7085;<music, subject, Male_trombonists>;;
2704;<subject, core#broader, Best_Sound_Editing_Academy_Award_winners>;;
6847;<musicComposer, subject, Male_trombonists>;;
6731;<musicComposer, subject, American_classical_trombonists>;;
269;<subject, core#broader, Martial_arts_films_by_genre>;;
254;<subject, core#broader, Action_thriller_films_by_decade>;;
1812;<director, subject, Film_directors_from_Ohio>;;
677;<producer, subject, Film_producers_from_Michigan>;;
211;<subject, core#broader, Touchstone_Pictures>;;
6000;<musicComposer, subject, UCLA_School_of_the_Arts_and_Architecture_alumni>;;
8283;<director, subject, Special_effects_people>;;
5660;<music, subject, 1932_births>;;
786;<subject, core#broader, Paramount_Pictures_films>;;
5576;<music, subject, UCLA_School_of_the_Arts_and_Architecture_alumni>;;
4253;<director, subject, Best_Directing_Academy_Award_winners>;;
3396;<director, subject, Producers_who_won_the_Best_Picture_Academy_Award>;;
8998;<director, subject, Fantasy_film_directors>;;
704;<director, subject, 1946_births>;;
3936;<musicComposer, subject, 1932_births>;;
2483;<starring, subject, Male_actors_of_German_descent>;;
3096;<musicComposer, subject, Varèse_Sarabande_Records_artists>;;
827;<studio, subject, Entertainment_companies_based_in_California>;;
526;<studio, subject, Disney_production_studios>;;
511;<studio, subject, The_Walt_Disney_Studios>;;
526;<studio, parentCompany, Walt_Disney_Studios_(division)>;;
9373;<subject, Films_that_won_the_Best_Sound_Mixing_Academy_Award>;;
6267;<subject, Films_whose_editor_won_the_Best_Film_Editing_Academy_Award>;;
8159;<director, Steven_Spielberg>;;
8911;<subject, Films_scored_by_John_Williams>;;
8821;<musicComposer, John_Williams>;;
4078;<subject, Films_directed_by_Steven_Spielberg>;;
8814;<music, John_Williams>;;
4048;<starring, Harrison_Ford>;;
2073;<subject, 1998_films>;;
1918;<subject, core#broader, Best_Film_Editing_Academy_Award_winners>;;
3852;<subject, core#broader, Action_films_by_series>;;
819;<starring, subject, 1951_births>;;
3985;<subject, core#broader, Best_Sound_Mixing_Academy_Award_winners>;;
55;<starring, subject, Hong_Kong_male_film_actors>;;
49;<starring, birthPlace, British_Hong_Kong>;;
10;<starring, subject, 21st-century_Hong_Kong_male_actors>;;
10;<starring, subject, 20th-century_Hong_Kong_male_actors>;;
150;<starring, subject, Alumni_of_the_London_Academy_of_Music_and_Dramatic_Art>;;
517;<writer, subject, UCLA_Film_School_alumni>;;
424;<musicComposer, subject, Jewish_rock_musicians>;;
226;<productionCompany, keyPeople, Sean_Bailey>;;
439;<producer, subject, Businesspeople_from_Detroit>;;
212;<productionCompany, keyPerson, Sean_Bailey>;;
728;<director, title, List_of_awards_and_nominations_received_by_Steven_Spielberg>;;
2472;<director, subject, American_billionaires>;;
426;<director, subject, Akira_Kurosawa_Award_winners>;;
6350;<musicComposer, sameAs, 102340285>;;
474;<director, subject, Television_producers_from_New_York_(state)>;;
390;<director, subject, People_from_Saratoga,_California>;;
436;<director, sameAs, 111553324>;;
6332;<music, subject, United_States_Air_Force_airmen>;;
6318;<music, subject, 21st-century_trombonists>;;
373;<director, subject, Philanthropists_from_California>;;
1703;<director, subject, Screenwriters_from_Ohio>;;
542;<director, subject, International_Emmy_Founders_Award_winners>;;
850;<starring, subject, Aviators_from_Illinois>;;
421;<director, subject, Male_actors_from_Arizona>;;
431;<director, subject, Male_actors_from_New_York_(state)>;;
344;<director, isPrimaryTopicOf, Steven_Spielberg>;;
2855;<director, subject, Screenwriters_from_New_York_(state)>;;
755;<director, subject, 21st-century_American_screenwriters>;;
836;<starring, depiction, Harrison_Ford_by_Gage_Skidmore.jpg>;;
5587;<music, subject, 20th-century_classical_pianists>;;
997;<director, subject, California_Democrats>;;
1511;<director, subject, Jewish_American_writers>;;
6385;<music, homepage, >;;
5577;<musicComposer, subject, Kennedy_Center_honorees>;;
350;<director, subject, Writers_from_Scottsdale,_Arizona>;;
545;<director, subject, Male_actors_from_New_Jersey>;;
246;<director, awards, List_of_awards_and_nominations_received_by_Steven_Spielberg>;;
791;<director, subject, Film_directors_from_New_York_(state)>;;
929;<director, subject, Film_directors_from_New_Jersey>;;
403;<director, father, Arnold_Spielberg>;;
396;<director, subject, Commanders_of_the_Order_of_the_Crown_(Belgium)>;;
272;<director, almaMater, California_State_University,_Long_Beach>;;
214;<director, subject, Male_actors_from_Cincinnati>;;
3667;<subject, American_chase_films>;;
2542;<subject, American_action_films>;;
1148;<productionCompany, Touchstone_Pictures>;;
726;<starring, Nicolas_Cage>;;
2922;<subject, Films_shot_at_Elstree_Studios>;;
3713;<subject, Films_shot_in_Hertfordshire>;;
4618;<subject, American_action_adventure_films>;;
4970;<studio, Lucasfilm>;;
4962;<subject, Lucasfilm_films>;;
2005;<subject, 1997_films>;;
3391;<subject, Paramount_Pictures_films>;;
3555;<subject, 1990s_science_fiction_action_films>;;
652;<subject, 1990s_buddy_cop_films>;;
785;<subject, American_buddy_cop_films>;;
1586;<subject, New_Line_Cinema_films>;;
1435;<producer, Jerry_Bruckheimer>;;
1415;<editing, Chris_Lebenzon>;;
1425;<subject, Films_produced_by_Jerry_Bruckheimer>;;
565;<distributor, Buena_Vista_Pictures>;;
2950;<subject, Films_set_in_Washington,_D.C.>;;
3350;<subject, Films_shot_in_England>;;
3375;<subject, Films_whose_art_director_won_the_Best_Art_Direction_Academy_Award>;;
352;<subject, Films_about_aviation_accidents_or_incidents>;;
758;<studio, Touchstone_Pictures>;;
1033;<subject, Films_about_terrorism>;;
447;<subject, Films_set_on_airplanes>;;
2294;<subject, American_disaster_films>;;
516;<starring, Ving_Rhames>;;
4330;<subject, American_sequel_films>;;
1228;<musicComposer, Danny_Elfman>;;
1217;<music, Danny_Elfman>;;
204;<subject, American_spy_films>;;
1187;<subject, Films_scored_by_Danny_Elfman>;;
3738;<subject, Films_whose_director_won_the_Best_Directing_Academy_Award>;;
3462;<subject, Films_whose_director_won_the_Best_Director_Golden_Globe>;;
1873;<productionCompany, Paramount_Pictures>;;
4323;<subject, Best_Drama_Picture_Golden_Globe_winners>;;
2170;<subject, Films_whose_cinematographer_won_the_Best_Cinematography_Academy_Award>;;
7110;<subject, American_epic_films>;;
343;<subject, Films_produced_by_Roger_Birnbaum>;;
471;<producer, Roger_Birnbaum>;;
771;<subject, Films_about_the_Federal_Bureau_of_Investigation>;;
757;<subject, American_slapstick_comedy_films>;;
8979;<subject, Films_that_won_the_Best_Visual_Effects_Academy_Award>;;
5637;<subject, 20th_Century_Fox_films>;;
4819;<distributor, Paramount_Pictures>;;
1954;<subject, Silver_Pictures_films>;;
2744;<subject, Articles_containing_video_clips>;;
1254;<subject, Cyberpunk_films>;;
1447;<starring, Keanu_Reeves>;;
4839;<subject, American_films>;;
1422;<subject, Transgender-related_films>;;
1616;<subject, Films_shot_in_Sydney>;;
1181;<subject, Martial_arts_science_fiction_films>;;
2375;<subject, Post-apocalyptic_films>;;
2526;<subject, Dystopian_films>;;
1299;<subject, Village_Roadshow_Pictures_films>;;
1211;<starring, Laurence_Fishburne>;;
1130;<subject, Australian_films>;;
206;<subject, Fictional_portrayals_of_the_New_York_City_Police_Department>;;
426;<musicComposer, Carter_Burwell>;;
433;<music, Carter_Burwell>;;
392;<subject, Films_scored_by_Carter_Burwell>;;
686;<starring, Will_Patton>;;
801;<starring, Robert_Duvall>;;
678;<subject, 1981_films>;;
479;<subject, American_adventure_films>;;
644;<subject, 1980s_adventure_films>;;
1501;<subject, Films_shot_in_Hawaii>;;
1543;<subject, 1980s_action_films>;;
979;<distributor, Sony_Pictures_Entertainment_Motion_Picture_Group>;;
220;<distributor, Sony_Pictures_Motion_Picture_Group>;;
229;<starring, Michael_Rooker>;;
497;<subject, 1998_directorial_debut_films>;;
564;<editing, subject, American_film_directors>;;
4494;<distributor, industry, Film>;;
4640;<director, subject, American_male_screenwriters>;;
4205;<distributor, subject, Film_distributors_of_the_United_States>;;
4261;<distributor, subject, Entertainment_companies_based_in_California>;;
6678;<director, subject, American_film_producers>;;
1759;<producer, subject, American_male_screenwriters>;;
1686;<music, subject, Male_film_score_composers>;;
5811;<cinematography, subject, Living_people>;;
2131;<musicComposer, subject, Male_film_score_composers>;;
372;<producer, subject, 1957_births>;;
1844;<writer, subject, American_male_film_actors>;;
1653;<distributor, hqLocationCountry, United_States>;;
1271;<writer, subject, Screenwriters_from_New_York_(state)>;;
347;<artist, occupation, Conducting>;;
151;<producer, subject, Male_actors_from_New_York_City>;;
921;<starring, subject, 1948_births>;;
1234;<productionCompany, products, Film>;;
1277;<productionCompany, product, Film>;;
93;<director, subject, 1957_births>;;
2289;<subject, core#broader, Film_scores_by_composer>;;
2191;<distributor, subject, Articles_containing_video_clips>;;
693;<writer, subject, Film_directors_from_New_York_City>;;
2450;<distributor, subject, Entertainment_companies_of_the_United_States>;;
1309;<producer, subject, Film_producers_from_New_York_(state)>;;
433;<subject, core#broader, Films_by_genre>;;
708;<starring, subject, 1965_births>;;
664;<writer, subject, Writers_from_New_York_City>;;
750;<producer, subject, Primetime_Emmy_Award_winners>;;
1309;<distributor, subject, Companies_based_in_Los_Angeles_County,_California>;;
412;<starring, subject, 1957_births>;;
2473;<distributor, subject, Companies_based_in_Los_Angeles>;;
1901;<director, subject, American_music_video_directors>;;
590;<artist, subject, Varèse_Sarabande_Records_artists>;;
429;<artist, subject, Living_people>;;
321;<director, subject, American_documentary_filmmakers>;;
260;<subject, core#broader, Horror_films_by_series>;;
453;<subject, core#broader, Crime_films_by_genre>;;
1141;<starring, subject, 21st-century_American_non-fiction_writers>;;
428;<artist, occupation, Composer>;;
21;<artist, subject, 21st-century_American_conductors_(music)>;;
707;<starring, subject, American_health_activists>;;
99;<artist, subject, 20th-century_American_conductors_(music)>;;
4221;<director, subject, Film_directors_from_California>;;
557;<producer, subject, Screenwriters_from_New_York_(state)>;;
2351;<writer, subject, Film_directors_from_California>;;
1451;<director, subject, Fellows_of_the_American_Academy_of_Arts_and_Sciences>;;
530;<writer, subject, César_Honorary_Award_recipients>;;
1328;<writer, subject, 21st-century_American_male_actors>;;
1085;<director, subject, César_Honorary_Award_recipients>;;
1065;<writer, subject, Fellows_of_the_American_Academy_of_Arts_and_Sciences>;;
71;<subject, core#broader, African-American_films>;;
2044;<director, subject, 21st-century_American_male_actors>;;
1219;<writer, subject, 20th-century_American_male_actors>;;
3374;<producer, subject, Living_people>;;
5016;<editing, subject, American_film_editors>;;
1598;<subject, core#broader, Films_by_American_directors>;;
957;<subject, Films_set_in_New_York_(state)>;;
2608;<subject, 2000_films>;;
2802;<subject, Universal_Pictures_films>;;
5166;<distributor, Universal_Pictures>;;
686;<subject, American_horror_thriller_films>;;
861;<subject, Edgar_Award-winning_works>;;
649;<subject, 1991_films>;;
1617;<genre, Film_score>;;
1857;<starring, Arnold_Schwarzenegger>;;
635;<subject, Spanish-language_films>;;
80;<subject, Films_with_screenplays_by_Spike_Lee>;;
176;<director, Spike_Lee>;;
87;<subject, Films_directed_by_Spike_Lee>;;
71;<writer, Spike_Lee>;;
137;<subject, Hood_films>;;
87;<producer, Spike_Lee>;;
262;<subject, Films_set_in_Brooklyn>;;
87;<subject, 40_Acres_&_A_Mule_Filmworks_films>;;
1730;<subject, Films_shot_in_New_York_City>;;
87;<productionCompany, 40_Acres_and_a_Mule_Filmworks>;;
2347;<subject, American_independent_films>;;
1235;<subject, StudioCanal_films>;;
1059;<distributor, subsidiary, Amblin_Partners>;;
958;<subject, core#broader, Universal_Pictures>;;
985;<distributor, subsid, DreamWorks_Animation>;;
2484;<distributor, subject, American_companies_established_in_1912>;;
1073;<distributor, foundedBy, Mark_Dintenfass>;;
2110;<productionCompany, industry, Film_industry>;;
612;<producer, subject, Directors_Guild_of_America_Award_winners>;;
2465;<distributor, subject, Entertainment_companies_established_in_1912>;;
709;<starring, subject, Comedians_from_New_York_City>;;
1657;<producer, birthPlace, New_York_City>;;
13;<music, label, DreamWorks_Records>;;
76;<music, label, Warner_Records>;;
1068;<distributor, subject, NBCUniversal>;;
2525;<distributor, subject, Mass_media_companies_established_in_1912>;;
1081;<distributor, subsid, NBCUniversal_Entertainment_Japan>;;
1035;<distributor, subsid, United_International_Pictures>;;
1012;<distributor, product, Motion_pictures>;;
1023;<distributor, subsidiary, Entertainment_One>;;
1072;<distributor, divisions, Focus_Features>;;
39;<producer, birthPlace, Colorado>;;
921;<subject, Films_shot_in_New_York_(state)>;;
515;<subject, American_comedy_films>;;
1329;<starring, Robert_De_Niro>;;
1366;<subject, Films_set_in_Chicago>;;
930;<subject, 2000_comedy_films>;;
1033;<distributor, DreamWorks_Pictures>;;
228;<starring, Blythe_Danner>;;
1675;<subject, DreamWorks_Pictures_films>;;
973;<cinematography, Tak_Fujimoto>;;
1323;<distributor, Orion_Pictures>;;
843;<subject, Films_about_psychiatry>;;
1304;<subject, Films_about_psychopaths>;;
530;<subject, Films_about_child_abduction>;;
1000;<music, Howard_Shore>;;
1154;<subject, 1990s_crime_drama_films>;;
798;<subject, Films_shot_in_Pennsylvania>;;
286;<subject, 1990s_horror_thriller_films>;;
235;<subject, 1991_drama_films>;;
1394;<subject, American_crime_thriller_films>;;
983;<musicComposer, Howard_Shore>;;
1135;<subject, American_police_detective_films>;;
541;<subject, 1990s_crime_thriller_films>;;
317;<subject, Films_shot_in_Pittsburgh>;;
679;<label, MCA_Records>;;
1378;<subject, American_crime_drama_films>;;
381;<subject, Films_featuring_a_Best_Drama_Actress_Golden_Globe-winning_performance>;;
727;<subject, American_psychological_horror_films>;;
630;<subject, Films_featuring_a_Best_Actress_Academy_Award-winning_performance>;;
963;<subject, Films_scored_by_Howard_Shore>;;
288;<subject, Films_about_cannibalism>;;
1023;<subject, Films_set_in_Illinois>;;
699;<subject, Films_set_in_Virginia>;;
367;<starring, Anthony_Hopkins>;;
681;<subject, Films_based_on_thriller_novels>;;
221;<subject, 1980s_science_fiction_horror_films>;;
1228;<subject, Films_shot_in_Mexico>;;
357;<subject, Films_set_in_1987>;;
566;<cinematography, Donald_McAlpine>;;
1563;<subject, 1980s_science_fiction_action_films>;;
966;<subject, American_monster_movies>;;
853;<subject, Films_about_extraterrestrial_life>;;
1040;<label, Varèse_Sarabande>;;
384;<subject, Films_produced_by_John_Davis>;;
318;<subject, 1987_horror_films>;;
275;<editing, John_F._Link>;;
354;<producer, John_Davis_(producer)>;;
4174;<distributor, 20th_Century_Studios>;;
1434;<subject, Films_shot_in_San_Francisco>;;
3955;<distributor, New_Line_Cinema>;;
1560;<subject, Films_shot_in_Vancouver>;;
1040;<subject, American_aviation_films>;;
668;<subject, 2000_directorial_debut_films>;;
294;<label, Columbia_Records>;;
641;<subject, American_comedy-drama_films>;;
486;<subject, African-American_films>;;
129;<starring, John_Turturro>;;
393;<subject, 1989_comedy_films>;;
1044;<subject, 1989_films>;;
365;<subject, Films_about_race_and_ethnicity>;;
105;<subject, Italian-language_films>;;
109;<subject, 1989_drama_films>;;
326;<productionCompany, StudioCanal>;;
974;<subject, Films_shot_in_New_Mexico>;;
2216;<starring, subject, Primetime_Emmy_Award_winners>;;
2254;<starring, subject, Outstanding_Performance_by_a_Male_Actor_in_a_Leading_Role_Screen_Actors_Guild_Award_winners>;;
4638;<subject, core#broader, Film_award_winners>;;
1664;<subject, core#broader, Science_fiction_films_by_genre>;;
610;<starring, subject, 1958_births>;;
384;<director, subject, 1944_births>;;
729;<starring, subject, Juilliard_School_alumni>;;
1976;<starring, subject, Best_Actor_Academy_Award_winners>;;
3085;<starring, subject, American_male_voice_actors>;;
1363;<subject, core#broader, Films_shot_in_the_United_States_by_state>;;
9400;<subject, BAFTA_winners_(films)>;;
2986;<director, subject, Best_Director_BAFTA_Award_winners>;;
1316;<starring, subject, American_people_of_Scotch-Irish_descent>;;
780;<starring, subject, American_people_of_Sicilian_descent>;;
1280;<starring, subject, Kennedy_Center_honorees>;;
920;<starring, subject, Independent_Spirit_Award_for_Best_Supporting_Male_winners>;;
4684;<director, subject, Best_Director_Golden_Globe_winners>;;
1220;<starring, subject, American_people_of_Swedish_descent>;;
775;<writer, subject, Film_producers_from_New_York_(state)>;;
1055;<starring, subject, Volpi_Cup_for_Best_Actor_winners>;;
7152;<subject, core#broader, Award-winning_works>;;
4530;<subject, core#broader, British_Academy_Film_Awards_winners>;;
646;<starring, subject, Laurence_Olivier_Award_winners>;;
2440;<subject, core#broader, 20th_Century_Studios_films>;;
811;<editing, subject, British_film_editors>;;
2359;<subject, core#broader, 20th_Century_Studios>;;
496;<starring, subject, 1943_births>;;
599;<distributor, service, Film_promotion>;;
549;<distributor, service, Film_distribution>;;
1503;<subject, core#broader, American_films_by_studio>;;
2158;<starring, subject, Best_Drama_Actor_Golden_Globe_(film)_winners>;;
6589;<subject, American_science_fiction_action_films>;;
5960;<subject, Hugo_Award_for_Best_Dramatic_Presentation_winning_works>;;
2706;<subject, Films_set_in_Los_Angeles>;;
1194;<subject, Films_about_drugs>;;
1085;<subject, American_satirical_films>;;
1521;<starring, party, Democratic_Party_(United_States)>;;
758;<starring, almaMater, Actors_Studio>;;
773;<writer, subject, Best_Director_Golden_Globe_winners>;;
1174;<starring, subject, 1947_births>;;
212;<writer, subject, American_male_dramatists_and_playwrights>;;
16;<producer, birthPlace, Ohio>;;
737;<starring, subject, Presidential_Medal_of_Freedom_recipients>;;
225;<producer, occupation, Television_producer>;;
183;<starring, education, New_York_University>;;
346;<producer, subject, David_di_Donatello_winners>;;
9599;<director, subject, Science_Fiction_Hall_of_Fame_inductees>;;
981;<director, subject, Filmmakers_who_won_the_Best_Film_BAFTA_Award>;;
4030;<director, subject, Inkpot_Award_winners>;;
1995;<director, subject, American_film_editors>;;
2570;<director, subject, Science_fiction_fans>;;
2508;<director, subject, AFI_Life_Achievement_Award_recipients>;;
345;<subject, core#broader, Films_shot_in_England>;;
1651;<director, subject, Kennedy_Center_honorees>;;
397;<starring, subject, Critics'_Circle_Theatre_Award_winners>;;
20;<starring, subject, Alumni_of_Rose_Bruford_College>;;
2100;<subject, core#broader, Science_fiction_films>;;
79;<musicComposer, subject, 1959_births>;;
885;<subject, core#broader, Science_fiction_adventure_films>;;
180;<starring, subject, English_film_directors>;;
1175;<subject, core#broader, British_films_by_studio>;;
108;<writer, subject, 1947_births>;;
351;<starring, subject, English_people_of_Scottish_descent>;;
1905;<subject, core#broader, Science_fiction_action_films_by_decade>;;
683;<distributor, headquarter, Pico_Boulevard>;;
655;<distributor, foundedBy, Joseph_M._Schenck>;;
1033;<distributor, hqLocationCity, Los_Angeles>;;
616;<distributor, product, Television_film>;;
581;<distributor, foundedBy, William_Fox_(producer)>;;
542;<distributor, subject, Fox_Film>;;
526;<distributor, subject, 20th_Century_Studios>;;
478;<distributor, subject, American_companies_established_in_1935>;;
478;<distributor, predecessor, Twentieth_Century_Pictures>;;
